euroc_mh2_752/10000/2 : {'above_tracked': 2699, 'above_total': 2700, 'below_tracked': 340, 'below_total': 340}
euroc_mh2_752/10000/3 : {'above_tracked': 2679, 'above_total': 2700, 'below_tracked': 340, 'below_total': 340}
euroc_mh3_752/500/1 : {'above_tracked': 2700, 'above_total': 2700, 'below_tracked': 0, 'below_total': 0}
euroc_mh3_752/500/2 : {'above_tracked': 2700, 'above_total': 2700, 'below_tracked': 0, 'below_total': 0}
euroc_mh3_752/500/3 : {'above_tracked': 2700, 'above_total': 2700, 'below_tracked': 0, 'below_total': 0}
euroc_mh3_752/750/1 : {'above_tracked': 2700, 'above_total': 2700, 'below_tracked': 0, 'below_total': 0}
euroc_mh3_752/750/2 : {'above_tracked': 2700, 'above_total': 2700, 'below_tracked': 0, 'below_total': 0}
euroc_mh3_752/750/3 : {'above_tracked': 2576, 'above_total': 2700, 'below_tracked': 0, 'below_total': 0}
euroc_mh3_752/1000/1 : {'above_tracked': 2700, 'above_total': 2700, 'below_tracked': 0, 'below_total': 0}
euroc_mh3_752/1000/2 : {'above_tracked': 2700, 'above_total': 2700, 'below_tracked': 0, 'below_total': 0}
euroc_mh3_752/1000/3 : {'above_tracked': 2700, 'above_total': 2700, 'below_tracked': 0, 'below_total': 0}
euroc_mh3_752/1250/1 : {'above_tracked': 2700, 'above_total': 2700, 'below_tracked': 0, 'below_total': 0}
euroc_mh3_752/1250/2 : {'above_tracked': 2700, 'above_total': 2700, 'below_tracked': 0, 'below_total': 0}
euroc_mh3_752/1250/3 : {'above_tracked': 2700, 'above_total': 2700, 'below_tracked': 0, 'below_total': 0}
euroc_mh3_752/2500/1 : {'above_tracked': 2700, 'above_total': 2700, 'below_tracked': 0, 'below_total': 0}
euroc_mh3_752/2500/2 : {'above_tracked': 2700, 'above_total': 2700, 'below_tracked': 0, 'below_total': 0}
euroc_mh3_752/2500/3 : {'above_tracked': 2639, 'above_total': 2700, 'below_tracked': 0, 'below_total': 0}
euroc_mh3_752/5000/1 : {'above_tracked': 2555, 'above_total': 2555, 'below_tracked': 145, 'below_total': 145}
euroc_mh3_752/5000/2 : {'above_tracked': 2555, 'above_total': 2555, 'below_tracked': 145, 'below_total': 145}
euroc_mh3_752/5000/3 : {'above_tracked': 2555, 'above_total': 2555, 'below_tracked': 145, 'below_total': 145}
euroc_mh3_752/10000/1 : {'above_tracked': 1720, 'above_total': 1720, 'below_tracked': 980, 'below_total': 980}
euroc_mh3_752/10000/2 : {'above_tracked': 1720, 'above_total': 1720, 'below_tracked': 980, 'below_total': 980}
euroc_mh3_752/10000/3 : {'above_tracked': 1720, 'above_total': 1720, 'below_tracked': 980, 'below_total': 980}
